NUM,LINEA,MAQUINA,COMPONENTE,CONDICION_FALLA,ACCION_INMEDIATA,MAQUINA_1,CAUSA,Minutos_TM,FECHA,SEMANA,RESPONSABLE,TURNO,Aplica
1,L2_CS,STRESS RELIEF OVEN,Charolas,Se daña Charola,Se endereza charola doblada,CS2 STRESS RELIEF OVEN,,15,04/01/2016,1,JAM,3 Tercero,SI
2,L2_ITW,WINDER,Winder,Equipo se detiene pero no marca falla,Se reinicia linea completa. No hay falla para rastrear. Falla continua.,ITW2 WINDER,,60,04/01/2016,1,JAM,3 Tercero,SI
3,L2_ITW,HARDENING,GWK,Se detiene linea por falla de flujo,"Se limpian cedazos principales y sensores de flujo en piso. Multiples eventos del mismo, al final se encuentra sensor de nivel sucio.",ITW2 HARDENING,,160,04/01/2016,1,JAM,3 Tercero,SI
4,L1_CS,SHOT PEENER,Elevador de Cangilones,Tensión a banda de cangilones,Se retensa la banda de los cangilones,CS1 SHOT PEENER,,30,04/01/2016,1,JAM,3 Tercero,NO
5,LT2,LOAD TEST,Estación de elevación,Falla elevdor de pistolas,Se desintala plato y pistón de elevador. Se retira tornillería dañada. Se enderezan soportes por encontrarse vencidos. Se instalan y se checa funcionamiento.,LT2 LOAD TEST,,90,04/01/2016,1,AIM,1 Primero,SI
6,L2_ITW,WINDER,Guarda y parámetros,Se detiene winder por topar con guarda. Los parámetros estaban muy bajos y el alambre iba más rapido que el winder,Se repara guarda y se instala un nuevo amortiguador para evitar que la dejen caer. Al arrancar el alambre va más rápido que el winder y la primer vuelta queda floja. El operador ajusta las velocidades antes de que se salga por completo el alambre.,ITW2 WINDER,Guarda dañada y parámetros equivocados.,240,04/01/2016,1,AIM,1 Primero,SI
7,LT2,LOAD TEST,Estación de elevación,Elevador de marcaje no llega a posición,"Falta altura a elevador de marcaje, por lo cual se cambia placa con neoprenos nuevos",LT2 LOAD TEST,,25,04/01/2016,1,AIM,1 Primero,SI
8,LT2,LOAD TEST,Carro de scrap,Llanta de carro dañda,Se repara base de llanta soldandose y enderezandola.,LT2 LOAD TEST,Operación,35,04/01/2016,1,AIM,1 Primero,NO
9,L2_CS,COILING FMB01,Hidráulico,Falla hidráulico,Se apaga pero no marca error en HMI. Se restablece y se empieza a correr,CS2 COILING FMB01,,11,04/01/2016,1,AIM,1 Primero,NO
10,L2_CS,COILING FMB46,Sercos,Se apaga hidraulico por error de sercos,"Se trata de reiniciar maquina pero se queda ciclada computadora y no se apaga a pesar de haberle quitado toda la energia. Se desconecta plogo directo desde el cpu.
Se reinicia maquina",CS2 COILING FMB46,,86,04/01/2016,1,JDEM,2 Segundo,SI
11,L2_CS,COILING FMB46,Hidráulico,Se apaga por perdida de encoder,MCU ,CS2 COILING FMB46,,9,05/01/2016,1,JAM,3 Tercero,SI
12,FACILITIES,GRUA CS,Fusible,Fusible fundido de grua,Se cambia fusible de 5A para grua.,FAC GRUA CS,,20,05/01/2016,1,JAM,3 Tercero,SI
13,L2_ITW,DRIVE ROLLERS 1,Drive Rollers,Se capa tornillo en base de vastago,se desmontan placas por  para retirar tornillo capado y realizar cambio por refaccion,ITW2 DRIVE ROLLERS 1,,40,05/01/2016,1,JAM,3 Tercero,SI
14,L2_CS,HOT SET,Conveyor,Resortes atorados en conveyor,Se liberan resortes atorados,CS2 HOT SET,,15,05/01/2016,1,AIM,1 Primero,SI
15,L2_CS,ROBOT 6,Colisión,Colisión provoca que se atore resorte en gripper,"Se encuentra resorte en gripper, se desmonta para poder desatorar",CS2 ROBOT 6,,30,05/01/2016,1,AIM,1 Primero,SI
16,L2_CS,ROBOT 3,Colisión,Colisión,Se restablece ,CS2 ROBOT 3,,15,05/01/2016,1,AIM,1 Primero,SI
17,L2_CS,ROBOT 2,Colisión,Colsión en salida del horno,Se restablece y se endereza charola,CS2 ROBOT 2,,6,05/01/2016,1,AIM,1 Primero,SI
18,L2_CS,STRESS RELIEF OVEN,Barrera Fotoelectrica,Fallan cortinas de salida,Se baja un poco la posición,CS2 STRESS RELIEF OVEN,,12,05/01/2016,1,AIM,1 Primero,SI
19,L1_DL,SHOT PEENER,Conos,Fuga de granalla,Se retira cono y se fabrica empaque. Se reinstala cono,DL SHOT PEENER,,31,05/01/2016,1,JDEM,2 Segundo,SI
20,L2_CS,COLDSET,Conveyor,Resortes atorados,Se liberan 12 resortes atorados. Se cambia un tornillo dañado,CS2 COLDSET,,12,05/01/2016,1,JDEM,1 Primero,SI
21,L2_CS,COILING FMB46,Hidráulico,Se apaga maquina,Se resetea drive,CS2 COILING FMB46,,6,05/01/2016,1,JDEM,2 Segundo,SI
22,L2_CS,STRESS RELIEF OVEN,Conveyor,Se atora cadena,Se libera cadena del horno,CS2 STRESS RELIEF OVEN,,17,05/01/2016,1,JDEM,2 Segundo,SI
23,L2_CS,STRESS RELIEF OVEN,Conveyor,Se sale cadena de sprockets,Se quita tension a la cadena y se vuelve a meter en el sprocket,CS2 STRESS RELIEF OVEN,,32,05/01/2016,1,JDEM,1 Primero,SI
24,L2_CS,STRESS RELIEF OVEN,Conveyor,Charolas dañadas,Se reemlazan 2 charolas dañadas,CS2 STRESS RELIEF OVEN,,33,05/01/2016,1,JDEM,2 Segundo,SI
25,L2_CS,STRESS RELIEF OVEN,Charolas,Charola Dañada,Se cambia charola dañada.,CS2 STRESS RELIEF OVEN,Colisión de Robot,15,06/01/2016,1,JAM,3 Tercero,SI
26,L2_CS,STRESS RELIEF OVEN,Charolas,3 charolas severamente dañadas,Se endereza charola,CS2 STRESS RELIEF OVEN,,20,06/01/2016,1,JAM,3 Tercero,SI
27,L2_CS,ROBOT 1,Gripper,Se cae gripper por base dañada,Se vuelve a colocar gripper y se endereza charola.,CS2 ROBOT 1,,28,06/01/2016,1,JAM,3 Tercero,SI
28,L1_CS,HOT SET,Conveyor,Rodillos dañados,Se realiza cambio de rodillo dañado. Se cambiaron tornillos vencidos por golpe.,CS1 HOT SET,Ajuste de alturas,15,06/01/2016,1,AIM,1 Primero,NO
